RFCOrdenante,NombreOrdenante,ApPaterno,ApMaterno,Sexo,FechaNacimiento,NumeroCuenta,Saldo,Estado,RFCOperador,Telefono,NumeroExterior,NumeroInterior,Calle,Colonia,Ciudad
ORDE880818DEF,Pedro,Prueba,Pruebas,F,1988-08-18T00:00:00.000+00:00,1212342345,200139.3,Activo,PEMP123456XYZ,1234567890,123,34,Avenida Principal,Centro,Aguascalientes
ORDE920501ABC,Juan,Lopez,Ramirez,M,1992-05-01T00:00:00.000+00:00,6789054321,15000.5,Activo,PEMP987654LMN,9876543210,456,12,Calle Reforma,Norte,Cancún
ORDE850312XYZ,Ana,Gonzalez,Fernandez,F,1985-03-12T00:00:00.000+00:00,8901234567,32000.8,Bloqueado,PEMP654321UVW,5432167890,789,56,Avenida Central,Sur,Celaya
ORDE780724QWE,Luis,Hernandez,Perez,M,1978-07-24T00:00:00.000+00:00,3456789012,50234.2,Inactivo,PEMP147258GHI,1597534682,147,9,Calle Secundaria,Oeste,Chihuahua
ORDE950918JKL,Marta,Sanchez,Ruiz,F,1995-09-18T00:00:00.000+00:00,2109876543,67500,Activo,PEMP369258STU,3692581470,258,44,Bulevar Libertad,Centro,Juárez
ORDE810305MNO,Roberto,Flores,Gutierres,M,1981-03-05T00:00:00.000+00:00,5678901234,89234.4,Activo,PEMP852147YZX,8521479630,963,23,Calle Peatonal,Este,México
ORDE990601VWX,Paula,Ortega,Castro,F,1999-06-01T00:00:00.000+00:00,7890123456,23000.6,Bloqueado,PEMP741852LOP,7418529630,357,78,Circuito Nacional,Centro,Culiacán
ORDE870214STU,Fernando,Vega,Dominguez,M,1987-02-14T00:00:00.000+00:00,6543217890,44000.9,Inactivo,PEMP123789QAZ,1237894560,369,67,Paseo del rio,Norte,Durango
ORDE920409ZXC,Clara,Navarro,Jimenez,F,1992-04-09T00:00:00.000+00:00,5432109876,31567.7,Activo,PEMP159357POI,1593578520,741,21,Carretera Vieja,Oeste,Guadalajara
ORDE750812BNM,Jose,Rodriguez,Salazar,M,1975-08-12T00:00:00.000+00:00,4321098765,72999.1,Activo,PEMP369147LKJ,3691472580,951,35,Calle del Comercio,Sur,Hermosillo
ORDE910617HGF,Beatriz,Martinez,Torres,F,1991-06-17T00:00:00.000+00:00,3210987654,48200.2,Bloqueado,PEMP753159NMQ,7531598520,147,92,Calle Mayor,Este,León
ORDE890225POI,Roberto,Suarez,Mendoza,M,1989-02-25T00:00:00.000+00:00,2109876543,150500.3,Inactivo,PEMP951753UIO,9517538520,369,87,Av. Independencia,Centro,Mérida
ORDE760903LKJ,Alicia,Delgado,Navarro,F,1976-09-03T00:00:00.000+00:00,1098765432,35789.4,Activo,PEMP357951YUI,3579518520,258,16,Callejon Real,Norte,Monterrey
ORDE980430ASD,Samuel,Bravo,Quintana,M,1998-04-30T00:00:00.000+00:00,9876543210,189000.5,Activo,PEMP852357HJK,8523579510,654,27,Calle Verde,Sur,Morelia
ORDE940719QWE,Andrea,Moreno,Benitez,F,1994-07-19T00:00:00.000+00:00,8765432109,64000.6,Bloqueado,PEMP159852YTR,1598527530,753,34,Avenida Dorada,Oeste,Puebla
ORDE830501RTY,Enrique,Carrillo,Ortiz,M,1983-05-01T00:00:00.000+00:00,7654321098,129345.7,Activo,PEMP654258BGT,6542581470,357,76,Carretera Azul,Centro,Zacatecas
ORDE700821VBN,Paola,Pineda,Guzman,F,1970-08-21T00:00:00.000+00:00,6543210987,56000.8,Activo,PEMP147852NHT,1478523690,963,83,Circuito Amarillo,Sur,México
ORDE880924UYT,David,Herrera,Luna,M,1988-09-24T00:00:00.000+00:00,5432109876,73500.9,Bloqueado,PEMP258963VFR,2589631470,159,58,Paseo del Lago,Norte,Durango
ORDE910204TGB,Sodia,Avila,Ramirez,F,1991-02-04T00:00:00.000+00:00,4321098765,49300,Inactivo,PEMP369147EDC,3691478520,654,23,Callejon Azul,Este,León
ORDE750316EDC,Tomas,Reyes,Barrera,M,1975-03-16T00:00:00.000+00:00,3210987654,86000.1,Activo,PEMP753159WSX,7531598520,357,91,Avenida Primavera,Centro,León
