RFCOrdenante,RFCOperador,NombreOrdenante,ApPaterno,ApMaterno,Sexo,FechaNacimiento,NumeroCuenta,Saldo,Estado,Telefono,NumeroExterior,NumeroInterior,Calle,Colonia,Ciudad
PRUE850515PR1,PEMP987654LMN,Prueba 1,Insercion,Masiva,F,1990-06-01,1234567890,10000.0,Activo,['9876543210'],100,10,Calle Ficticia,Colonia 1,Ciudad A
PRUE850515PR2,PEMP987654LMN,Prueba 2,Insercion,Masiva,M,1985-07-15,1234567891,15000.0,Inactivo,['8765432101'],101,11,Calle Real,Colonia 2,Ciudad B
PRUE850515PR3,PEMP987654LMN,Prueba 3,Insercion,Masiva,F,1992-09-20,1234567892,20000.0,Bloqueado,['7654321098'],102,12,Calle Principal,Colonia 3,Ciudad C
PRUE850515PR4,PEMP987654LMN,Prueba 4,Insercion,Masiva,M,1988-03-25,1234567893,25000.0,Activo,['6543210987'],103,13,Calle Secundaria,Colonia 4,Ciudad D
PRUE850515PR5,PEMP987654LMN,Prueba 5,Insercion,Masiva,F,1995-12-10,1234567894,30000.0,Inactivo,['5432109876'],104,14,Calle Norte,Colonia 5,Ciudad E
PRUE850515PR6,PEMP987654LMN,Prueba 6,Insercion,Masiva,M,1982-11-30,1234567895,35000.0,Bloqueado,['4321098765'],105,15,Calle Sur,Colonia 6,Ciudad F
PRUE850515PR7,PEMP987654LMN,Prueba 7,Insercion,Masiva,F,1990-01-01,1234567896,40000.0,Activo,['3210987654'],106,16,Calle Este,Colonia 7,Ciudad G
PRUE850515PR8,PEMP987654LMN,Prueba 8,Insercion,Masiva,M,1987-08-19,1234567897,45000.0,Inactivo,['2109876543'],107,17,Calle Oeste,Colonia 8,Ciudad H
PRUE850515PR9,PEMP987654LMN,Prueba 9,Insercion,Masiva,F,1994-05-10,1234567898,50000.0,Activo,['1098765432'],108,18,Calle A,Colonia 9,Ciudad I
PRUE850515PR10,PEMP987654LMN,Prueba 10,Insercion,Masiva,M,1991-04-22,1234567899,55000.0,Bloqueado,['0987654321'],109,19,Calle B,Colonia 10,Ciudad J
