RFCOrdenante,RFCOperador,NombreOrdenante,ApPaterno,ApMaterno,Sexo,FechaNacimiento,NumeroCuenta,Saldo,Estado,Telefono,NumeroExterior,NumeroInterior,Calle,Colonia,Ciudad
LOSC850516ABE,PEMP987654LMN,Prueba 1,Insercion,Masiva,F,01/06/1990,1234567890,10000,Activo,5432167890,100,10,Calle Ficticia,Colonia 1,Ciudad A
LOSC850517ABE,PEMP987654LMN,Prueba 2,Insercion,Masiva,M,15/07/1985,1234567891,15000,Inactivo,5432167890,101,11,Calle Real,Colonia 2,Ciudad B
LOSC850518ABE,PEMP987654LMN,Prueba 3,Insercion,Masiva,F,20/09/1992,1234567892,20000,Bloqueado,5432167890,102,12,Calle Principal,Colonia 3,Ciudad C
LOSC850519ABE,PEMP987654LMN,Prueba 4,Insercion,Masiva,M,25/03/1988,1234567893,25000,Activo,5432167890,103,13,Calle Secundaria,Colonia 4,Ciudad D
LOSC850520ABE,PEMP987654LMN,Prueba 5,Insercion,Masiva,F,10/12/1995,1234567894,30000,Inactivo,5432167890,104,14,Calle Norte,Colonia 5,Ciudad E
LOSC850521ABE,PEMP987654LMN,Prueba 6,Insercion,Masiva,M,30/11/1982,1234567895,35000,Bloqueado,5432167890,105,15,Calle Sur,Colonia 6,Ciudad F
LOSC850522ABE,PEMP987654LMN,Prueba 7,Insercion,Masiva,F,01/01/1990,1234567896,40000,Activo,5432167890,106,16,Calle Este,Colonia 7,Ciudad G
LOSC850523ABE,PEMP987654LMN,Prueba 8,Insercion,Masiva,M,19/08/1987,1234567897,45000,Inactivo,5432167890,107,17,Calle Oeste,Colonia 8,Ciudad H
LOSC850524ABE,PEMP987654LMN,Prueba 9,Insercion,Masiva,F,10/05/1994,1234567898,50000,Activo,5432167890,108,18,Calle A,Colonia 9,Ciudad I
LOSC850525ABE,PEMP987654LMN,Prueba 10,Insercion,Masiva,M,22/04/1991,1234567899,55000,Bloqueado,5432167890,109,19,Calle B,Colonia 10,Ciudad J
