RFCOrdenante,RFCOperador,NombreOrdenante,ApPaterno,ApMaterno,Sexo,FechaNacimiento,NumeroCuenta,Saldo,Estado,Telefono,NumeroExterior,NumeroInterior,Calle,Colonia,Ciudad
ROSC910516ABA,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,F,01/05/1992,2934567880,10000,Activo,5432167890,100,10,Calle Ficticia,Colonia 1,Ciudad A
ROSC920517ABB,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,M,02/05/1992,2934507882,15000,Inactivo,5432167890,101,11,Calle Real,Colonia 2,Ciudad B
ROSC930518ABC,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,F,03/05/1992,2934567882,20000,Bloqueado,5432167890,102,12,Calle Principal,Colonia 3,Ciudad C
ROSC940519ABD,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,M,04/05/1992,2934567883,25000,Activo,5432167890,103,13,Calle Secundaria,Colonia 4,Ciudad D
ROSC960520ABG,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,F,05/05/1992,2934507884,30000,Inactivo,5432167890,104,14,Calle Norte,Colonia 5,Ciudad E
ROSC970521ABJ,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,M,06/05/1992,2934567885,35000,Bloqueado,543067890,105,15,Calle Sur,Colonia 6,Ciudad F
ROSC980522ABN,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,F,07/05/1992,2934567886,40000,Activo,5432167890,106,16,Calle Este,Colonia 7,Ciudad G
ROSC990523ABT,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,M,08/05/1992,2934567887,45000,Inactivo,5432167890,107,17,Calle Oeste,Colonia 8,Ciudad H
ROSC951524AB4,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,F,09/05/1992,2934567885,50000,Activo,5432167890,108,18,Calle A,Colonia 9,Ciudad I
ROSC952525ABE,PEMP987654LMN,Test Nuevo Insercion,Insercion,Masiva,M,10/05/1992,2934567869,55000,Bloqueado,5432167890,109,19,Calle B,Colonia 10,Ciudad J
